method,iteration,objective,nrmse,seconds,inner_evaluations,step,outer_kkt,inner_kkt,majorizer_gap,surrogate_change,sufficient_slack,allocation_change,zero_latents,inner_iterations,fluence,seed
SIRT,0,3.99168766514862,0.41045526780408303,0.0,0,0.0,0.08255919854794248,0.0,0.0,0.0,0.0,0.0,0,0,20000.0,20260910
SIRT,1,1.9579127904976492,0.3828682601247049,0.0020764580003742594,1,1.7997812852852884,0.05002106183425072,nan,0.4168745298266831,-1.6169003448242878,1.8718142409078122,0.017337286113293722,0,1,20000.0,20260910
SIRT,2,1.3772441219924276,0.3697438734733611,0.0034650409979803953,2,0.9657818760597003,0.03935493268530445,nan,0.09130801847891071,-0.4893606500263097,0.5340319368989519,0.007956624362081728,0,1,20000.0,20260910
SIRT,3,1.1467987702781433,0.3613257905105159,0.004818500001420034,3,0.5733408786986001,0.03427240863552981,nan,0.026300312795296554,-0.20414503891898417,0.21400936355494024,0.004221321743535452,0,1,20000.0,20260910
SIRT,4,1.027357141105439,0.3546912479403582,0.006160958000691608,4,0.37699943179080353,0.031236877560290265,nan,0.009169415079953096,-0.11027221409275258,0.11233520059417486,0.0025029056778676103,0,1,20000.0,20260910
SIRT,5,0.9516637398921596,0.34887673112652484,0.007503415999963181,5,0.2765986260920393,0.029029017394469253,nan,0.003770658436892348,-0.0719227427763874,0.0718680612154792,0.0016205591809977946,0,1,20000.0,20260910
SIRT,6,0.8957133025460846,0.3435253016916527,0.008968582998932106,6,0.22444842130477807,0.027408358231239317,nan,0.0017728281435072514,-0.05417760920257167,0.05343158265476461,0.0011198742401657468,0,1,20000.0,20260910
SIRT,7,0.8502712438318475,0.3384888594065189,0.010407791000034194,7,0.19536405886615577,0.026105567905996,nan,0.0009615047996183224,-0.044480553914621836,0.04353370293940418,0.0008265430628183304,0,1,20000.0,20260910
SIRT,8,0.8113999845042161,0.3336962263476797,0.011981666000792757,8,0.17743981058120017,0.025001502105954775,nan,0.0005955555738053134,-0.03827570375382004,0.03729701500867675,0.0006474416923137029,0,1,20000.0,20260910
SIRT,9,0.7770493282649488,0.3291072256754021,0.013365833001444116,9,0.16488074938547628,0.024024562636926167,nan,0.00041476633838177996,-0.033935889900886675,0.03299137316337155,0.0005348056056835599,0,1,20000.0,20260910
SIRT,10,0.745899791122633,0.3246957144124448,0.0147177910002938,10,0.1556361113553976,0.023168924434233542,nan,0.0003088965408172718,-0.03084064060149708,0.029938407184424233,0.0004594767549136564,0,1,20000.0,20260910
SIRT,11,0.7173475554898844,0.3204435732531261,0.016045332999055972,11,0.1479506783495113,0.022378630348775932,nan,0.0002394179426710255,-0.02831281769007603,0.02745776547154464,0.00040338587262889875,0,1,20000.0,20260910
SIRT,12,0.6911822897285698,0.3163365852584824,0.017378290998749435,12,0.1411324845589239,0.02162002223501462,nan,0.00019188771228847737,-0.025973378049025747,0.02516934685142587,0.0003595861371774732,0,1,20000.0,20260910
SIRT,13,0.6668655903596211,0.3123628252986986,0.01870112499818788,13,0.1354600207740883,0.0209188838921541,nan,0.00015564906563491374,-0.024161050303316087,0.023399228507542825,0.00032452046218029866,0,1,20000.0,20260910
SIRT,14,0.6441816008785192,0.30851283817194086,0.02001429099982488,14,0.130385644026717,0.02025013247151116,nan,0.00012825539621566672,-0.02255573408488399,0.02183396867268886,0.0002948846069547695,0,1,20000.0,20260910
SIRT,15,0.6229598454694664,0.30477857014843784,0.021328957998775877,15,0.12572875528517383,0.019614128464334635,nan,0.00010643341947802458,-0.021115321989577183,0.020431369413774846,0.0002688077272744512,0,1,20000.0,20260910
SIRT,16,0.6030331730952119,0.3011528905568838,0.022739832998922793,16,0.12147689897540391,0.019029812078773595,nan,8.937488630397424e-05,-0.019837297487948935,0.01918884052502047,0.0002473442730197417,0,1,20000.0,20260910
SIRT,17,0.584304093787884,0.2976294767738528,0.02406699999846751,17,0.11750165794809195,0.01846679681013141,nan,7.617283534592538e-05,-0.018652906471977686,0.018038747326300404,0.00022954471053315584,0,1,20000.0,20260910
SIRT,18,0.5666192673929631,0.2942025899256417,0.02537424999900395,18,0.11389717039706622,0.017929915225381485,nan,6.582023242750953e-05,-0.017619006162496936,0.017036198123697943,0.00021501652188811964,0,1,20000.0,20260910
SIRT,19,0.5499103317122837,0.29086722424973743,0.02680937499826541,19,0.11048732658598914,0.017415592117239576,nan,5.738200586054541e-05,-0.016651553674817434,0.016098563213873485,0.0002014100028665828,0,1,20000.0,20260910
SIRT,20,0.5340711159009307,0.28761882086708335,0.028373541001201374,20,0.10735570778744721,0.016922434740069568,nan,5.048130259129361e-05,-0.01578873450876765,0.015262953411625759,0.00018979734935735282,0,1,20000.0,20260910
SIRT,21,0.5190679885272071,0.28445332488488895,0.02970695800104295,21,0.10436538046120189,0.01643707624664228,nan,4.4422948323232824e-05,-0.014958704425398912,0.014458520741782986,0.00017845377990243164,0,1,20000.0,20260910
SIRT,22,0.5048390084320775,0.2813668877582271,0.031029540998133598,22,0.10158227130485839,0.015958153362343703,nan,3.926077074917517e-05,-0.01418971932437974,0.013713032202956936,0.00016798397210356572,0,1,20000.0,20260910
SIRT,23,0.49127820679412354,0.2783560291950307,0.03239854099956574,23,0.0989899679381151,0.015500993865215794,nan,3.535604066783424e-05,-0.013525445597290702,0.013070850950334527,0.00016036769635121057,0,1,20000.0,20260910
SIRT,24,0.478346981268874,0.275417665721405,0.033738957998139085,24,0.0965461535105816,0.015061982993566463,nan,3.185255685226109e-05,-0.012899372968395738,0.012465167537365117,0.00015288870074725583,0,1,20000.0,20260910
SIRT,25,0.4660228380337655,0.2725489199457963,0.03507620800155564,25,0.09415164294231722,0.014637365286018689,nan,2.8860328434096917e-05,-0.012295282906675106,0.011880916641671619,0.00014614077983585605,0,1,20000.0,20260910
SIRT,26,0.4542822184060082,0.26974700551558234,0.03639041600035853,26,0.09184198225764552,0.014226458487367252,nan,2.6197948206154165e-05,-0.0117144216795438,0.011318872142506615,0.00013937317524582483,0,1,20000.0,20260910
SIRT,27,0.44309099678968866,0.26700923207314203,0.037708166000811616,27,0.08953851650101993,0.013831140433756762,nan,2.3969178362053443e-05,-0.01116725243795638,0.010790364319459353,0.00013430043252127114,0,1,20000.0,20260910
SIRT,28,0.43245840595778856,0.26433297011211965,0.03905233299883548,28,0.08731279137930094,0.013442526152976373,nan,2.168598141969898e-05,-0.010610904850485091,0.010251414654977834,0.00012733117901152235,0,1,20000.0,20260910
SIRT,29,0.4222836784616797,0.2617156842219414,0.040380416001426056,29,0.08535908519999834,0.013072221615938504,nan,1.994477319553884e-05,-0.010154782722912098,0.009810418824799843,0.00012210706158224268,0,1,20000.0,20260910
SIRT,30,0.41253517133576934,0.2591552445026751,0.04169983300016611,30,0.08346106766618326,0.012716842827726704,nan,1.841936728540704e-05,-0.009730087758626032,0.009400219635111394,0.00011744928194121166,0,1,20000.0,20260910
SIRT,31,0.4031878116145223,0.2566496488599158,0.04305558299893164,31,0.08169095105170891,0.012373516351033068,nan,1.7099202318432634e-05,-0.00933026051892155,0.009013689147060426,0.0001133611568427201,0,1,20000.0,20260910
SIRT,32,0.3942384134184593,0.2541970378893445,0.04474612500052899,32,0.07989797333141944,0.012036331638470997,nan,1.566291131171571e-05,-0.008933735284757006,0.008630213888939586,0.00010842154405483762,0,1,20000.0,20260910
SIRT,33,0.38567873554058285,0.2517955187996717,0.046123166001052596,33,0.07818147866784161,0.011705325554475505,nan,1.4414061214810159e-05,-0.008545263816658084,0.008254060697541917,0.00010368332938787652,0,1,20000.0,20260910
SIRT,34,0.3774512546706459,0.24944330737977835,0.047482124999078223,34,0.07657598166858702,0.0115363702471635,nan,1.3412206265998583e-05,-0.008214068663668188,0.007934286821511576,0.00010047305401365694,0,1,20000.0,20260910
SIRT,35,0.36954699582681483,0.24713881968849624,0.04883820800023386,35,0.07501902106590401,0.011393493381274293,nan,1.2453672151837812e-05,-0.007891805171679053,0.00762286616774673,9.732376610816115e-05,0,1,20000.0,20260910
SIRT,36,0.36194806807262314,0.244880530831343,0.05020666600103141,36,0.07355095474945895,0.011250179654014434,nan,1.1561598718919416e-05,-0.007587366155477164,0.007328440606963839,9.381434635566102e-05,0,1,20000.0,20260910
SIRT,37,0.3546343351583532,0.2426670404530683,0.05155645799823105,37,0.07211485686363157,0.011106153476113137,nan,1.0737622457360382e-05,-0.0073029952918094426,0.007053705285246851,9.02963326989201e-05,0,1,20000.0,20260910
SIRT,38,0.34760713415011124,0.2404969752046528,0.05288204099997529,38,0.07070273975587299,0.010962755868996088,nan,1.0061151336393318e-05,-0.007017139856901403,0.006777257137792611,8.748405534465507e-05,0,1,20000.0,20260910
SIRT,39,0.340831591133115,0.2383689982319412,0.054293832999974256,39,0.06938198015646262,0.010818993553562133,nan,9.40642157381975e-06,-0.006766136595425283,0.006534850058474644,8.459902764908916e-05,0,1,20000.0,20260910
SIRT,40,0.33430382467263714,0.23628190728177817,0.05566970799918636,40,0.06809601745062459,0.010678409197368992,nan,8.766823106784133e-06,-0.00651899963736886,0.00629591308084608,8.148923483420062e-05,0,1,20000.0,20260910
SIRT,41,0.32801157850114276,0.23423452896007999,0.05709920799927204,41,0.06682374901500145,0.010538303994707076,nan,8.254191947920743e-06,-0.0062839919795506525,0.00606897549987338,7.941011493080408e-05,0,1,20000.0,20260910
SIRT,42,0.3219339554923233,0.23222573172103417,0.05842204099826631,42,0.06563558751467839,0.010400061059642637,nan,7.787598109386297e-06,-0.006069835410709258,0.005862221491399627,7.725654670806942e-05,0,1,20000.0,20260910
SIRT,43,0.3160605996901851,0.2302544999790933,0.0598349159990903,43,0.06443779410475924,0.01026297436381385,nan,7.3483389931201625e-06,-0.005866007463150096,0.005665744336683847,7.518242064365248e-05,0,1,20000.0,20260910
SIRT,44,0.31040521260671106,0.22831977582657306,0.06135141599952476,44,0.06322562017284684,0.010129770296526983,nan,6.925144564156677e-06,-0.00564846193890556,0.005455513131161962,7.265870688491213e-05,0,1,20000.0,20260910
SIRT,45,0.30493298804598984,0.22642055772557212,0.0626981249988603,45,0.06216246040291373,0.00999541335107547,nan,6.579537859595802e-06,-0.0054656450228635104,0.005279015986554027,7.099919224574114e-05,0,1,20000.0,20260910
SIRT,46,0.29964740011134017,0.2245559638488389,0.06410875000074157,46,0.06109341212700716,0.009862418388209967,nan,6.226248651736687e-06,-0.005279361685996534,0.005098967684383654,6.899560461811579e-05,0,1,20000.0,20260910
SIRT,47,0.29453176218985666,0.22272509291534895,0.06545579099838505,47,0.0600933823657215,0.009729702860641927,nan,5.913420538386891e-06,-0.005109724500945636,0.004935077191275866,6.726697369392092e-05,0,1,20000.0,20260910
SIRT,48,0.28957484502096487,0.2209271290548349,0.06683925000106683,48,0.05912905933919391,0.009596686654886439,nan,5.6343744383038574e-06,-0.004951282794456718,0.004782104885974899,6.576177353797777e-05,0,1,20000.0,20260910
SIRT,49,0.2847807113640047,0.2191612928550332,0.06822908300091513,49,0.05812203297452755,0.009470271776231215,nan,5.352721499507096e-06,-0.004788780935452887,0.004625225121105583,6.43414216436301e-05,0,1,20000.0,20260910
SIRT,50,0.28014522954200677,0.2174267594688903,0.06961175000105868,50,0.05716655662472455,0.009350371311883333,nan,5.163333842225978e-06,-0.004630318488160213,0.004472081062181519,6.34480372028176e-05,0,1,20000.0,20260910
SIRT,51,0.2756666869987085,0.21572275821327822,0.07094004100144957,51,0.05623127299237017,0.009235030554041724,nan,4.907936265319606e-06,-0.004473634607030038,0.004320444740181147,6.166067592695012e-05,0,1,20000.0,20260910
SIRT,52,0.27132723621804516,0.21404855092060582,0.07232666599884396,52,0.05535617515236126,0.009119091044937327,nan,4.676814814736695e-06,-0.004334773965852478,0.004186235474288389,6.013584249683972e-05,0,1,20000.0,20260910
SIRT,53,0.26711696240093025,0.2124034622799822,0.07371912500093458,53,0.054496992890870004,0.009002110768716489,nan,4.479062780557219e-06,-0.004205794754333151,0.004061777705407541,5.8915483910656704e-05,0,1,20000.0,20260910
SIRT,54,0.2630354286810844,0.21078683646833807,0.07512541599862743,54,0.05365236713994006,0.0088861792887765,nan,4.2956298069636015e-06,-0.004077238090042893,0.0039376048948598745,5.77943932471262e-05,0,1,20000.0,20260910
SIRT,55,0.2590765998064216,0.2091980222018071,0.07644845799950417,55,0.05283415209924535,0.008770333683532671,nan,4.131309596120671e-06,-0.0039546975650675545,0.0038192564932605024,5.674325864672203e-05,0,1,20000.0,20260910
SIRT,56,0.25523599386092466,0.20763639721861596,0.078105583001161,56,0.05202741246909891,0.008654842436969337,nan,3.9636737293417e-06,-0.003836642271759247,0.003705263363085468,5.557539680086648e-05,0,1,20000.0,20260910
SIRT,57,0.25150611642663173,0.20610137459315078,0.07945029099937528,57,0.05126222189127466,0.008539322509319549,nan,3.799675421791607e-06,-0.0037260777588805825,0.0035984866646314134,5.441319760759307e-05,0,1,20000.0,20260910
SIRT,58,0.24788398858274305,0.20459239275300484,0.08076712500042049,58,0.050509030882240694,0.008424185778824048,nan,3.6611061271513714e-06,-0.003618466737758124,0.0034945697338555266,5.345462631618351e-05,0,1,20000.0,20260910
SIRT,59,0.2443644799705732,0.20310891376972293,0.08207512499939185,59,0.04978354421429838,0.008310197237248596,nan,3.5239320397400236e-06,-0.0035159846801301655,0.003395588548442997,5.242993217712098e-05,0,1,20000.0,20260910
