iteration,ls_uniform,wls_uniform,poisson_uniform,ls_heterogeneous,wls_heterogeneous,poisson_heterogeneous
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.11659694358385567,0.11647069158468681,0.11588299999295838,1.2039728043259361,0.3250829733914483,0.6318756482042717
2,0.11659694358385567,0.11647069158468681,0.11653018041747955,1.2039728043259361,0.3250829733914483,0.6875910991151917
3,0.11659694358385567,0.11647069158468681,0.11653379594400488,1.2039728043259361,0.3250829733914483,0.6926421981786657
4,0.11659694358385567,0.11647069158468681,0.11653381614247701,1.2039728043259361,0.3250829733914483,0.6931012740286663
5,0.11659694358385567,0.11647069158468681,0.11653381625531764,1.2039728043259361,0.3250829733914483,0.6931430072468366
6,0.11659694358385567,0.11647069158468681,0.11653381625594798,1.2039728043259361,0.3250829733914483,0.6931468011679099
7,0.11659694358385567,0.11647069158468681,0.11653381625595141,1.2039728043259361,0.3250829733914483,0.6931471460697608
8,0.11659694358385567,0.11647069158468681,0.11653381625595154,1.2039728043259361,0.3250829733914483,0.693147177424474
9,0.11659694358385567,0.11647069158468681,0.11653381625595154,1.2039728043259361,0.3250829733914483,0.6931471802749025
10,0.11659694358385567,0.11647069158468681,0.11653381625595154,1.2039728043259361,0.3250829733914483,0.6931471805340322
11,0.11659694358385567,0.11647069158468681,0.11653381625595154,1.2039728043259361,0.3250829733914483,0.6931471805575896
12,0.11659694358385567,0.11647069158468681,0.11653381625595154,1.2039728043259361,0.3250829733914483,0.6931471805597311
